                               
 Cluster     Number of         Cluster         LCV      aLCV      Datasets
  Number      Datasets          Height                            ID
                               
     001             2           0.066        2.10      4.27      15 27
     002             2           0.067        0.14      0.22      9 24
     003             2           0.069        0.27      0.25      16 22
     004             2           0.077        1.42      2.23      4 25
     005             2           0.092        3.87      5.92      6 10
     006             2           0.094        0.11      0.10      7 14
     007             3           0.108      102.11     94.46      11 15 27
     008             2           0.113        0.65      0.60      19 20
     009             3           0.121        0.45      0.72      8 16 22
     010             2           0.129        0.72      0.67      1 18
     011             4           0.138        0.45      0.72      8 16 22 26
     012             4           0.139        1.56      2.44      4 7 14 25
     013             2           0.143        0.47      0.74      12 23
     014             4           0.145      102.11     94.46      11 15 21 27
     015             2           0.151        0.06      0.10      2 5
     016             3           0.159        0.61      0.97      1 13 18
     017             3           0.165        4.09      6.26      6 10 30
     018             5           0.182        4.13      6.32      6 10 19 20 30
     019             6           0.192        0.45      0.72      8 9 16 22 24 26
     020             2           0.218        0.66      1.04      3 17
     021             4           0.222        0.61      0.97      1 13 18 29
     022             7           0.229        4.16      6.37      6 10 12 19 20 23 30
     023             5           0.236        0.61      0.97      1 13 18 28 29
     024             6           0.255      102.98     94.86      3 11 15 17 21 27
     025             8           0.266      102.98     94.86      2 3 5 11 15 17 21 27
     026            12           0.351        4.24      6.50      1 6 10 12 13 18 19 20 23 28 29 30
     027            14           0.352      102.98     94.86      2 3 5 8 9 11 15 16 17 21 22 24 26 27
     028            16           0.475        4.24      6.50      1 4 6 7 10 12 13 14 18 19 20 23 25 28 29 30
     029            30           0.730      105.70     96.08      1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
